std_id,acres,description
15588_245,77.4,Planted Longleaf Pine Forest
15588_247,0.06,Nontimbered
15588_248,1.92,Planted Longleaf Pine Forest
15588_249,11.13,Upland Hardwood Forest
15588_250,13.26,Natural Loblolly Pine Forest
15588_251,22.2,Natural Loblolly Pine Forest
15588_252,19.9,Natural Longleaf Pine Forest
15588_254,7.08,Planted Loblolly Pine Forest
15588_255,8.8,Upland Hardwood Forest
15588_256,7.12,Upland Hardwood Forest
15588_258,6.43,Upland Hardwood Forest
15588_259,54.96,Natural Longleaf Pine Forest
15588_26,2.79,Natural Longleaf Pine Forest
15588_260,16.39,Mesic Hardwood Forest
15588_261,24.86,Natural Longleaf Pine Forest
15588_263,22.24,Natural Longleaf Pine Forest
15588_265,27.83,Natural Longleaf Pine Forest
15588_267,13.83,Natural Longleaf Pine Forest
15588_27,27.15,Mesic Hardwood Forest
15588_28,28.45,Natural Loblolly Pine Forest
15588_29,4.63,Natural Loblolly Pine Forest
15588_3,45.31,Planted Longleaf Pine Forest
15588_30,50.49,Planted Longleaf Pine Forest
15588_31,18.75,Planted Longleaf Pine Forest
15588_32,22.64,Natural Loblolly Pine Forest
15588_33,8.33,Planted Longleaf Pine Forest
15588_34,5.59,Planted Loblolly Pine Forest
15588_35,27.69,Mesic Hardwood Forest
15588_36,11.37,Natural Loblolly Pine Forest
15588_37,7.63,Natural Loblolly Pine Forest
15588_38,1.39,Nontimbered
15588_39,142.23,Natural Loblolly Pine Forest
15588_4,0.7,Nontimbered
15588_40,11.68,Mesic Hardwood Forest
15588_41,0.65,Nontimbered
15588_43,0.8,Upland Hardwood Forest
15588_44,24.69,Planted Longleaf Pine Forest
15588_45,184.22,Mesic Hardwood Forest
15588_46,16.19,Natural Loblolly Pine Forest
15588_47,4.93,Natural Loblolly Pine Forest
15588_48,23.9,Planted Longleaf Pine Forest
15588_49,10.39,Natural Loblolly Pine Forest
15588_5,2.42,Nontimbered
15588_50,2.8,Planted Longleaf Pine Forest
15588_51,0.38,Natural Longleaf Pine Forest
