15588_1 4 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 0 0 0 0 0 0 0 0 0
15588_1 5 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 0 0 0 0
15588_1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 0 0 0 0 0 0 0 0 0 0 0 0 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2 57.2
15588_10 6 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 0 0 0 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 0 9.88 9.88 9.88 0 0 0 0 0 0 0 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 0 0 0 0
15588_10 7 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 0 0 0 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 0 9.88 9.88 9.88 0 0 0 0 0 0 0 9.88 9.88 9.88 9.88 9.88 9.88 9.88 0 0 0 0
15588_10 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 0 0 0 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15588_10 8 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 0 0 0 0 0 0 0 0 0 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 0 0 0 9.88 9.88 9.88 0 0 0 0
15588_10 9 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 0 0 0 9.88 0 0 0 0 0 0 0 0 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 9.88 0 0 0 9.88 9.88 0 0 0 0
15588_100 4 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 14.26 14.26 0 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 0 0 0 0 0 0 0 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 0 0 0 0 0 0 0
15588_100 5 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 14.26 14.26 0 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 0 0 0 0 0 0 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 0 0 0 0 0 0
15588_100 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26 14.26
15588_101 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 13.02 13.02 13.02 13.02 13.02 13.02 13.02 13.02 13.02 13.02 13.02 13.02 13.02 13.02 13.02 13.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15588_101 1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 13.02 13.02 0 0 0 0 13.02 13.02 13.02 13.02 13.02 13.02 13.02 13.02 13.02 0 0 13.02 13.02 0 0 0 0 0 0 0 0 0 0 0 0 13.02 13.02 13.02 13.02
